Neighborhood,City,County,Size Rank,"LIHTC Present? (0 = No, 1 = Yes)",Number of Units (2000),Population (2000),Proportion of Homeowners (2000),Median Income (2000),Number of Units (2010),Population (2010),Proportion of Homeowners (2010),Median Income (2010),Number of Units (2015),Population (2015),Proportion of Homeowners (2015),Median Income (2015)
Ardmore,Winston-Salem,Forsyth,1246,0,1859.13365,3534.218075,0.582162325,40246.13098,1911.205337,5093,0.796601942,45303,1878.123209,4438,0.803114013,44359
Ashbrook-Clawson Village,Charlotte,Mecklenburg,3160,1,3445.997724,5641.616235,0.443759581,43850.70437,1798.865869,5004.402188,0.545482895,39263.34976,1628.939107,6363.548388,0.516383887,34954.90798
Ashley Park,Charlotte,Mecklenburg,3856,0,1806.66978,4313.208645,0.488270218,28355.41132,1887.88791,5019.721815,0.543705427,39190.34022,1869.364481,6390.991844,0.514400954,34832.71003
Atwood Acres,Winston-Salem,Forsyth,5084,0,2980.620423,6661.45362,0.587741477,43772.59815,2728.866238,7039,0.33968347,45563,2959.839533,8942,0.360318684,50535
Back Creek Church Road,Charlotte,Mecklenburg,2228,0,2391.777577,6063.519116,0.870693338,60891.78754,1521.325893,3475.148534,0.72620832,49180.77281,1662.736462,3538.039947,0.686091543,49476.66126
Balfour,Hendersonville,Henderson,4741,0,1368.328489,3034.70841,0.749621169,36120.18054,1686.231479,5028.236144,0.653309868,100807.9884,1544.323102,4934.607834,0.644063754,102954.1774
Ballantyne East,Charlotte,Mecklenburg,1412,0,3360.601674,8349.090027,0.688147791,93696.32545,2051.570636,5777.950511,0.715173616,88626.68486,2024.611493,7117.721192,0.644857221,101394.2246
Ballantyne West,Charlotte,Mecklenburg,1248,0,2655.94406,5683.052153,0.775453897,70981.80468,2753.045866,3824.119666,0.651766471,84582.27561,2928.122582,4622.161299,0.595405603,90185.35963
Barclay Downs,Charlotte,Mecklenburg,2370,0,3244.373505,6292.11629,0.653604168,71544.62091,2043.310321,5736.102037,0.900294993,70751.30213,2140.651344,5839.215695,0.911417912,75689.14644
Bayshore,Wilmington,New Hanover,3457,1,4047.726871,9314.860649,0.860040158,58085.8394,3895.462591,6258.187745,0.454081438,35906.92529,4049.842773,6154.641105,0.374350454,30376.71759
Beatties Ford-Trinity,Charlotte,Mecklenburg,2431,1,2876.775166,7998.017478,0.87758591,55682.83025,1274.89498,3427.855119,0.718605166,47027.59154,1271.895551,3792.771291,0.632870067,43335.31907
Becton Park,Charlotte,Mecklenburg,2569,0,2653.49868,6301.814779,0.785664181,47848.80475,1519.780937,6141.863574,0.474904959,39103.92479,1623.500531,6184.440719,0.502542432,44293.78634
Belmont,Charlotte,Mecklenburg,3750,0,905.0256816,2781.690914,0.296145742,17679.43459,798.8106414,2146.439632,0.392646222,26516.15749,1042.20112,2202.070448,0.330815677,22355.06279
Bermuda Run,Advance,Davie,4835,0,2981.057968,6718.519767,0.884307386,59069.62651,3714.87503,5682.711308,0.261461416,30994.51818,3903.165436,6584.72944,0.203279861,26969.62111
Beverly Woods,Charlotte,Mecklenburg,2104,0,2556.202899,5404.875812,0.764733697,72455.17923,2889.75999,2375.891945,0.469318348,19125.6961,2886.042019,1917.516605,0.332490492,21042.61571
Biddleville,Charlotte,Mecklenburg,4187,0,615.4349119,2547.481666,0.386831617,20449.47353,613.7902741,3287.897814,0.611956474,42598.65559,566.5573709,3958.778235,0.551772876,46146.84574
Boston Thurmon,Winston-Salem,Forsyth,4722,0,903.7240754,1915.508816,0.469560078,35252.08695,933.5354204,2990,0.076576577,11599,925.2570008,1632,0.060952381,15382
Brandon Forest,Charlotte,Mecklenburg,4903,0,4187.155107,8190.92486,0.534275626,50430.10042,1759.546456,5587.041291,0.516836614,51905.30431,1774.833068,6444.331866,0.566347053,56101.7309
Briarcreek-Woodland,Charlotte,Mecklenburg,2768,1,1907.123981,4179.263679,0.255460717,31935.36851,1490.167366,6550,0.851804124,83382,1467.04732,5840,0.831618335,73289
British Woods,Winston-Salem,Forsyth,4182,0,1823.809947,3603.118427,0.823802965,49182.11936,2190.77742,3598.245004,0.484665461,25593.32404,2465.868256,4218.586785,0.441084027,23813.40483
Brookwood,Winston-Salem,Forsyth,4729,0,2462.812304,4804.160425,0.296793903,30343.68012,2758.705869,1490.733492,0.355950098,25537.45265,2775.08408,2201.00052,0.458177352,35040.67986
Buena Vista,Winston-Salem,Forsyth,3176,0,1237.664586,2649.321921,0.833209673,84234.41734,1247.886509,3182.444404,0.263208278,25428.50714,1194.820817,3477.873123,0.239621641,26869.57776
Carmel,Charlotte,Mecklenburg,1777,0,2240.092329,5217.390962,0.630593292,67138.82417,2354.18209,6394,0.883534137,75000,2469.135334,7054,0.838494708,75934
Cedar Forest,Winston-Salem,Forsyth,5161,0,2017.720217,5234.786357,0.789112614,63345.26267,2489.675032,4431,0.844136566,65895,2405.853817,4260,0.772370487,62993
Central,Raleigh,Wake,2120,1,1024.739472,2838.74122,0.225885554,23810.47327,1177.453948,1994.227653,0.259244262,37563.12188,1260.908787,1760.092856,0.274141526,62881.85551
Chantilly,Charlotte,Mecklenburg,4783,0,1538.081917,2652.234743,0.431143676,33540.95335,1143.061271,1487.673732,0.203869719,11490.86825,1001.937298,1500.946095,0.178561814,12103.43838
Cherry,Charlotte,Mecklenburg,5244,1,599.0134578,981.6247502,0.371059971,32808.35366,430.8904114,1987.840593,0.419896371,29788.82844,545.7461034,1604.809137,0.487567398,20831.36425
Clanton Park-Roseland,Charlotte,Mecklenburg,3120,1,1436.909566,3337.731293,0.525768709,29085.94455,1551.468515,4500.677093,0.402876122,40699.2316,1589.100916,4282.893678,0.391654845,40679.99832
Closeburn-Glenkirk,Charlotte,Mecklenburg,2721,1,2031.643946,4016.305336,0.470081052,41261.07468,2242.213977,8126.735311,0.681933259,44155.09202,2257.612016,8809.851733,0.598106855,40601.0322
College Downs,Charlotte,Mecklenburg,1983,0,1586.169157,3964.724051,0.309744373,38509.94853,2467.462537,2621.380874,0.422655417,48136.39252,2448.897779,2669.280134,0.488512402,44812.39939
Collingwood,Charlotte,Mecklenburg,3136,0,2005.315306,3948.654685,0.502779302,39285.22099,1340.301513,6125.351169,0.430008137,35298.16161,1316.994977,6148.775703,0.355590598,29761.51009
Cotswold,Charlotte,Mecklenburg,2697,0,1667.424063,3187.857701,0.524486345,46434.8469,2031.494185,6913.260524,0.710125734,51832.55529,1981.647187,6961.86646,0.67558885,48300.31635
Coulwood East,Charlotte,Mecklenburg,5222,0,2096.416916,5092.908814,0.88562884,48518.54229,2399.296988,4686.181453,0.753891526,53140.23118,2619.517412,4809.402377,0.703496852,55795.74038
Coulwood West,Charlotte,Mecklenburg,1234,0,1971.052348,4800.60731,0.89711142,52565.53124,1738.64235,2795.369854,0.901593212,103938.5149,1883.037041,2896.197248,0.856066539,121357.982
Country Club,Winston-Salem,Forsyth,3813,0,1270.904932,2802.4368,0.922480914,87522.86938,1303.986495,5698.541105,0.586205127,54693.40593,1287.11886,5605.678086,0.551018772,47896.21298
Country Club Heights,Charlotte,Mecklenburg,2293,1,2410.693611,5514.176455,0.597993845,50266.71913,2441.166312,5412,0.024989229,24129,2449.644504,6441,0.018467852,25393
Derita-Statesville,Charlotte,Mecklenburg,2205,0,2688.961103,6620.800202,0.680975597,38908.55567,2069.108255,2882.232967,0.542314893,74926.73079,2081.121513,3163.20185,0.519728335,91765.71798
Dilworth,Charlotte,Mecklenburg,1643,1,1362.45506,2487.052331,0.508738755,51922.59942,1591.969727,4921.876572,0.565021934,60670.79649,1754.42822,5077.694957,0.584883724,66350.29826
Druid Hills North,Charlotte,Mecklenburg,5156,0,1069.611396,2725.890251,0.349617895,22675.34813,1023.797301,2017.159356,0.432214625,16821.90713,1124.211652,2560.177472,0.363191582,20528.28205
Eagle Lake,Charlotte,Mecklenburg,3496,0,2752.786407,7085.562245,0.518416617,40806.87767,1221.338465,4543.313661,0.354693697,37480.24648,1218.157877,5562.012792,0.305723214,38796.47941
East Forest,Charlotte,Mecklenburg,918,0,3950.359836,7880.812164,0.299461413,39698.91316,2520.900126,4060.303435,0.382640189,35326.97068,2626.851702,4699.164205,0.385202083,37737.31748
East Raleigh,Raleigh,Wake,1035,1,1848.684766,4289.600105,0.446760999,34786.40919,1985.810127,1826.570794,0.154610614,14133.66466,2012.89535,1968.733442,0.140881951,14420.93331
East Winston,Winston-Salem,Forsyth,3404,0,1033.163483,2052.813596,0.200297274,17117.53508,1017.594969,5800.072995,0.835394292,64621.20159,1054.181004,5258.576097,0.800031417,60963.77486
Eastfield,Charlotte,Mecklenburg,2947,0,2262.648885,6015.205526,0.946472175,75532.29121,2297.22429,3301.950598,0.239715931,19009.54319,2229.314569,3403.762152,0.254033038,15569.2568
Eastland-Wilora Lake,Charlotte,Mecklenburg,1534,0,3142.463104,7530.803731,0.446405177,35590.56938,1383.953655,6637.512921,0.570807416,35866.20768,1416.102084,5405.377729,0.639088467,35979.74718
Easton,Winston-Salem,Forsyth,3822,0,2048.203783,4959.629595,0.622546774,34015.01697,2534.232616,3760.995012,0.865447176,217825.8358,2658.219319,3764.971757,0.932940775,188688.0646
Eastover,Charlotte,Mecklenburg,3689,0,1474.201437,3407.435493,0.906541133,142290.2673,1501.992237,5215.576272,0.307970522,27718.25033,1486.267131,5575.260072,0.296133128,33064.82305
Eastway-Sheffield Park,Charlotte,Mecklenburg,2015,0,2486.217897,5199.708482,0.313123038,35928.53485,2483.34569,8957.213441,0.558943911,48795.27131,2339.948623,9359.394216,0.443024297,48513.16174
Elizabeth,Charlotte,Mecklenburg,2517,1,1135.748411,1995.833596,0.371120172,46964.05694,1125.851062,8051,0.885034014,64397,1284.555222,7431,0.910973085,67110
Enderly Park,Charlotte,Mecklenburg,3182,0,1485.727637,3649.502998,0.416200718,27814.18532,1621.867789,5805.618382,0.599113443,49959.37318,1466.928311,6037.694569,0.54700915,49574.06599
Falls of Neuse,Raleigh,Wake,1397,1,2162.11375,4874.039165,0.533340016,48817.73492,2274.226592,5896.444596,0.45199241,36946.4948,2421.231901,6887.777616,0.292774276,28780.51252
Farm Pond,Charlotte,Mecklenburg,2031,0,2391.336221,5306.482916,0.284026401,34972.87241,2903.422248,6881.98662,0.810909447,71679.78245,2819.463443,6913.987511,0.731075789,64568.82084
Firestone-Garden Park,Charlotte,Mecklenburg,4934,1,1429.903998,3495.053693,0.732599895,37490.70994,2274.264068,2134.393433,0.350593636,57523.76482,2399.108433,3441.119652,0.229545505,71951.04429
Five Points,Raleigh,Wake,1410,0,2080.197746,3862.7532,0.593043304,55499.89575,2140.179321,4210.801012,0.518763242,26470.88766,2139.34423,4208.838791,0.496918467,24393.68178
Forest Park,Winston-Salem,Forsyth,4318,0,1431.549472,3732.827045,0.473111424,23242.11671,1354.031517,3492.567885,0.94188903,98072.0388,1360.934731,3437.418324,0.913485649,110859.134
Foxcroft,Charlotte,Mecklenburg,2175,0,2157.76936,4362.013337,0.549163727,75936.83736,2115.589133,7039.075784,0.699885327,52783.5034,2262.886355,6005.667082,0.697767406,58502.94968
Freedom Park,Charlotte,Mecklenburg,3527,0,2674.959941,4549.836651,0.54375668,54359.60548,2160.226856,3866.163979,0.77651904,54910.92796,2098.354397,4354.056796,0.752154685,51180.81919
Glenwood,Raleigh,Wake,1512,0,1334.713797,2957.916447,0.792242069,84079.80135,1354.031745,2195.625729,0.11862296,18186.96606,1320.618006,3337.607385,0.170329136,19974.81021
Governor's Square,Charlotte,Mecklenburg,4644,0,2697.097749,5740.842562,0.630222154,68251.13548,3189.887898,6526,0.931306751,85492,3074.55821,6777,0.914122137,91741
Greenway,Winston-Salem,Forsyth,4403,0,1455.142452,3829.370374,0.454143824,25115.48701,1488.189423,2444.324977,0.110507405,18672.37435,1437.533276,3011.416876,0.175934027,18146.64088
Grier Heights,Charlotte,Mecklenburg,3505,1,1250.18361,3212.589617,0.154373085,22724.18377,1247.834138,6877.403378,0.721147697,53649.53088,1216.313423,6715.734174,0.676040705,62110.37401
Griers Fork,Charlotte,Mecklenburg,2530,0,4359.965058,10972.27064,0.759350132,55983.53725,2316.401902,5938.71528,0.875815343,77104.89789,2337.574687,8017.174358,0.840430743,74571.04169
Harris-Houston,Charlotte,Mecklenburg,1302,1,2222.211119,6369.244671,0.543496041,52727.12007,1070.092236,5826.150651,0.851218001,76467.05733,1187.910073,7029.764429,0.856197838,68373.91746
Harwood Lane,Charlotte,Mecklenburg,5406,1,1725.210948,4228.279537,0.921302779,62207.53987,2406.01314,6526,0.931306751,85492,2650.967236,6777,0.914122137,91741
Hembstead,Charlotte,Mecklenburg,3901,0,2387.969786,6625.838466,0.764259206,85715.66153,1018.770662,3898.588962,0.6917871,66185.98289,1062.22903,5159.528435,0.652359241,61807.93863
Hickory Grove,Charlotte,Mecklenburg,2053,0,3537.132145,9173.435829,0.543230027,42547.21965,2422.939849,3752.30278,0.696347312,45734.84696,2573.995676,4701.924968,0.577618591,40635.61076
Hickory Ridge,Charlotte,Mecklenburg,1325,0,2989.247044,7302.495446,0.705266026,43715.34321,1604.600287,3218.088276,0.461877106,34054.37472,1647.110057,3560.122338,0.333311974,27791.18169
Hidden Valley,Charlotte,Mecklenburg,843,0,2520.10759,6788.38587,0.449370157,34145.30819,1335.941926,4154,0.415399706,44675,1539.722806,4476,0.331288344,61063
Highland Creek,Charlotte,Mecklenburg,1114,0,4495.335658,11492.47807,0.814806895,79999.89408,1418.513993,7771.692335,0.782138616,46590.68526,1585.690294,8194.127257,0.712348164,42568.42859
Hillsborough,Raleigh,Wake,799,0,922.2894905,2289.849516,0.263316995,34769.89679,1151.632811,2989.659041,0.347920214,17656.90387,1104.816385,3040.232453,0.325531695,20133.76279
Hwy 51-Park Road,Charlotte,Mecklenburg,3873,0,3103.444233,7661.618895,0.50339373,41580.36555,1204.889832,4304.189733,0.368607553,32397.65935,1221.886319,5733.424341,0.324274096,33054.87233
Idlewild Farms,Charlotte,Mecklenburg,2167,0,1917.130993,4648.087611,0.374451451,35139.51677,1938.135873,2997.973902,0.626198513,46238.82987,1959.6747,3545.936679,0.546654703,45205.291
Idlewild South,Charlotte,Mecklenburg,1768,0,2244.041494,5873.300464,0.633557477,44476.47005,1206.566506,6526,0.931306751,85492,1192.545194,6777,0.914122137,91741
James City,New Bern,Craven,1858,0,3793.211914,8804.54566,0.821694994,43288.76309,2462.490808,5082.120923,0.797090201,45479.54463,2660.96876,4464.024598,0.800222939,44544.86359
Johnston Rd.-McAlpine,Charlotte,Mecklenburg,2013,0,3501.589825,7608.254282,0.654099229,52907.52494,1820.385069,3737.105691,0.475130359,24208.91827,1886.2574,3545.768646,0.501270046,31524.28992
Kings Grant,Wilmington,New Hanover,1618,1,3247.564329,7559.681871,0.739737733,42377.65019,2217.894903,5418,0.741203704,42477,2351.7051,6646,0.850378034,46726
Kirkland,Wilmington,New Hanover,3700,0,4077.609501,9453.503874,0.813365994,47961.6186,2721.438725,4431,0.844136566,65895,2876.966316,4260,0.772370487,62993
Konnoak,Winston-Salem,Forsyth,3302,0,1281.103179,2753.18543,0.679271863,34470.3679,1352.537529,4959.462847,0.960140304,111343.1731,1285.502678,6590.593271,0.916998177,117382.7624
Lansdowne,Charlotte,Mecklenburg,2531,0,2162.696716,4780.871942,0.500698405,55955.85,2162.94923,3600,0.900879297,68984,2255.898557,3994,0.805393586,60811
Lincoln Heights,Charlotte,Mecklenburg,4055,1,1709.687242,3969.931386,0.511755558,27393.76173,1777.550903,5771,0.952164009,80089,1784.256445,6255,0.918214145,69925
Madison Park,Charlotte,Mecklenburg,2484,0,2398.685846,4537.917013,0.612447466,42122.30851,2424.651256,4488.342812,0.748487916,79458.31007,2483.441407,5657.341681,0.6178112,70668.32615
Mallard Creek - Withrow Downs,Charlotte,Mecklenburg,2444,0,4510.045035,11518.60679,0.81076011,79903.31855,1875.788815,3582.828665,0.860135459,56813.40902,2121.956018,4047.75166,0.741771241,39627.0079
Marlwood,Charlotte,Mecklenburg,2043,0,1790.823944,5006.859551,0.852533597,52358.30661,1999.205474,4730.558374,0.68164477,55418.02876,2138.054395,5067.646077,0.668938774,45841.51307
Marshbrooke,Charlotte,Mecklenburg,1764,1,2908.262331,6993.431459,0.676448647,55906.79313,1977.450624,7961.845173,0.603139414,69265.62862,2154.661193,8179.516661,0.613732957,75982.17054
Mineral Springs,Winston-Salem,Forsyth,4656,0,1531.807382,3824.68472,0.607367507,29703.31519,1750.091761,7251.897283,0.498487205,52304.95937,1716.393182,8497.587749,0.440533305,51174.13305
Mineral Springs-Rumble Road,Charlotte,Mecklenburg,1499,0,5099.833624,10225.54158,0.419039605,50628.6392,3448.448115,4098.110318,0.498327416,34257.64991,3798.14325,4188.247218,0.568625219,37388.48811
Montclaire South,Charlotte,Mecklenburg,945,1,2843.094659,7434.156579,0.413208306,40627.44738,1457.276758,6810.911194,0.899427028,120489.0873,1535.451612,7081.138531,0.859483612,135640.0412
Montibello,Charlotte,Mecklenburg,2542,1,2519.422023,6728.871372,0.886476722,120520.2729,2497.058854,3842.596385,0.761196727,40787.51943,2606.012694,4136.271365,0.602260051,35831.57019
Mordecai,Raleigh,Wake,3510,1,1057.249404,2157.950772,0.465608936,31459.22799,1162.27367,2730.646462,0.559686766,53293.95859,1100.323369,3478.067487,0.422841082,41993.38346
Morningside Manor,Winston-Salem,Forsyth,5261,0,1682.445899,4329.823209,0.661015832,30419.87961,1717.494327,6394,0.883534137,75000,1706.426758,7054,0.838494708,75934
Mount Tabor,Winston-Salem,Forsyth,5320,0,1994.427273,4218.367726,0.789223826,57400.32861,2000.373292,3800.122845,0.728938376,46423.3531,2064.442245,4897.750501,0.565755621,51115.85399
Mountain Home,Hendersonville,Henderson,4359,0,2063.5128,4522.037519,0.827085786,45544.65759,2056.77525,3909.135536,0.712481847,66290.86597,2299.718722,4172.810253,0.683831893,63486.57157
Mountain Island,Charlotte,Mecklenburg,5101,0,2760.511943,6667.418117,0.878725268,56235.83809,1667.167854,4431,0.844136566,65895,1694.869116,4260,0.772370487,62993
Mountainbrook,Charlotte,Mecklenburg,3774,0,2516.840439,6682.639069,0.883215632,119177.0054,2501.770839,7372.804825,0.75651422,61408.27073,2612.042067,8235.28441,0.816363951,67148.52746
Murraysville,Wilmington,New Hanover,784,0,4003.523912,9333.490616,0.795953757,44410.07926,3263.61369,3427.928936,0.854645309,126488.7957,3407.151287,3937.002228,0.793796129,151638.6829
Myers Park,Charlotte,Mecklenburg,1008,0,3116.32436,6173.172301,0.700308596,81548.39736,1553.677522,6882,0.810912835,71680,1691.051046,6914,0.731078905,64569
Nevin Community,Charlotte,Mecklenburg,2890,1,2661.935019,6579.072587,0.683840897,38783.85313,1600.075228,3310.436603,0.914659336,126382.8091,1730.946597,3006.137756,0.956285242,128711.1534
New Sherwood Forest,Winston-Salem,Forsyth,4726,0,3065.179576,6802.408231,0.888871612,69382.47195,1473.784722,3177.703947,0.681162673,58687.80451,1380.482533,3393.689194,0.602603122,48915.30305
Newell,Charlotte,Mecklenburg,1978,0,2316.052636,5722.492557,0.83827851,62841.58419,1230.923316,3667.202136,0.692307237,37063.39301,1344.738252,3393.197996,0.773175672,53323.62618
Newell South,Charlotte,Mecklenburg,3138,0,1172.047425,2913.929356,0.794498485,47074.78248,1336.79166,2778,0.445578231,23214,1311.827158,3465,0.340548341,32150
North Central,Raleigh,Wake,1731,1,1271.774199,3090.985385,0.34297639,29136.75288,1351.690762,2093.739511,0.659551555,50120.29839,1500.809999,2478.906589,0.528355809,68162.22042
North Charlotte,Charlotte,Mecklenburg,3454,1,1133.02118,2506.652413,0.430391502,25779.01786,1309.671609,6526,0.931306751,85492,1339.193404,6777,0.914122137,91741
North East Winston,Winston-Salem,Forsyth,4483,0,1316.895421,3228.053086,0.275977021,15777.14474,1282.330828,3583,0.86013463,56813,1131.387438,4048,0.741750359,39625
North Lake,Charlotte,Mecklenburg,2076,0,2879.243233,8026.56618,0.881994219,55897.51573,1483.244671,5737.131099,0.701236082,78978.20929,2064.370465,6319.328169,0.671746972,78541.35625
North Raleigh,Raleigh,Wake,67,1,3275.581966,7947.810573,0.702916193,65775.00021,2569.78095,3020.207986,0.464251673,33213.37706,2784.127523,4147.103256,0.370611874,38452.82898
North Sharon Amity,Charlotte,Mecklenburg,1435,0,3129.008569,6941.654364,0.490502925,40227.76694,1720.434137,3173.071799,0.416558798,24071.3911,1772.65101,3589.829346,0.368946266,24923.3281
Northeast Raleigh,Raleigh,Wake,123,1,3070.10779,7537.597604,0.755011283,55095.47051,2802.611518,3294.507159,0.537859612,38910.31757,3091.252697,3963.823138,0.415608147,38269.50768
Northwest Raleigh,Raleigh,Wake,90,1,3089.141815,6839.778863,0.547522291,61895.58403,2056.952239,3734,0.754551585,39115,2335.263677,4103,0.569922699,34497
Northwoods Estate,Winston-Salem,Forsyth,5289,0,1378,3423,0.7915,40139,1656,5107.884395,0.366845451,33832.77929,1632,5207.366587,0.287595323,30436.95917
Oak Forest,Charlotte,Mecklenburg,1835,1,3083.231113,8059.167975,0.573416797,40940.10129,2014.484528,4013.116272,0.915054486,88898.27431,2056.781536,7135.070187,0.878097,88419.66111
Oakdale North,Charlotte,Mecklenburg,5246,0,2760.857998,6667.663956,0.878702555,56230.93282,3098.934385,7377.803226,0.80743996,55234.09208,3365.926696,9242.392396,0.718300592,56336.27919
Oakdale South,Charlotte,Mecklenburg,2613,0,2752.373402,6647.31302,0.878359355,56130.55323,3090.023288,2628.685418,0.416018401,35032.01653,3356.055569,2945.870329,0.369834393,46875.67649
Oakhurst,Charlotte,Mecklenburg,4035,0,2506.659906,4777.952523,0.333195505,33777.34087,1670.237121,3186.812698,0.420501464,25715.50576,1667.286958,3354.10733,0.467069437,26171.80359
Oaklawn,Charlotte,Mecklenburg,5330,0,1708.335966,3966.002063,0.51062592,27369.75141,1767.428623,2901.13432,0.476742362,22987.75173,1772.623291,3314.442609,0.329308808,25595.46792
Ogburn Station,Winston-Salem,Forsyth,4708,0,1650.044794,4130.425723,0.62895164,30222.92447,1659.394609,8129.519188,0.869381231,67550.15134,1607.512373,7836.29824,0.83659057,73702.09378
Ogden,Wilmington,New Hanover,1646,0,3970.666069,9072.680284,0.893173429,65689.17585,3442.496914,3733.558371,0.754090794,39129.01791,3493.966104,4102.109128,0.571191401,34475.61907
Old Sherwood Forest,Winston-Salem,Forsyth,4932,0,1441.717557,3583.931576,0.947444591,85533.10466,1464.371639,6550,0.851804124,83382,1408.475081,5840,0.831618335,73289
Olde Providence North,Charlotte,Mecklenburg,3168,0,2702.87601,5759.090089,0.63083518,68045.35494,3195.772834,5000.100664,0.8475997,95297.28142,3078.87776,5542.654771,0.762415286,91346.60909
Olde Providence South,Charlotte,Mecklenburg,2266,0,1746.205084,4284.949428,0.78452131,87017.29895,2047.134522,6090.424562,0.6546547,52655.20977,2091.892088,5741.20765,0.620432204,55374.45402
Olde Whitehall,Charlotte,Mecklenburg,3350,0,4359.099835,10970.4813,0.758737108,55942.94848,2172.600601,4456.406355,0.401151052,38116.86557,2273.652312,4721.35713,0.362236317,43610.49813
Oxford Hunt,Charlotte,Mecklenburg,2519,0,1898.077768,3893.912466,0.51521526,71949.59783,1984.074848,3435.875295,0.710984452,64265.9066,2030.159729,3974.374634,0.802215963,73313.67181
Park Crossing,Charlotte,Mecklenburg,4309,0,4184.162503,8186.079037,0.534199997,50464.75317,1746.504216,3501.641139,0.729535482,65652.03564,1764.485373,4066.539957,0.8237326,75704.05813
Pawtuckett,Charlotte,Mecklenburg,2988,0,2588.183768,6768.071264,0.858031757,46061.44601,2147.47064,3505.722161,0.849642071,82432.38793,2272.284463,3483.566698,0.803715357,94435.90243
Peace Haven,Winston-Salem,Forsyth,4364,0,1570.502481,3598.995516,0.848804855,78449.20124,1592.561743,8051,0.885034014,64397,1538.747759,7431,0.910973085,67110
Piper Glen Estates,Charlotte,Mecklenburg,1451,0,1505.687839,3795.124785,0.858243641,94712.23064,1612.362135,6526,0.931306751,85492,1668.936378,6777,0.914122137,91741
Plaza Midwood,Charlotte,Mecklenburg,3100,0,1783.461858,3744.894238,0.573553394,42619.6769,1788.180007,2756.34179,0.64342086,41540.37287,1747.977495,2956.760699,0.535675389,31801.09051
Plaza-Eastway,Charlotte,Mecklenburg,1641,0,2499.061416,6537.010685,0.654898943,40120.54404,1216.54848,4090.137217,0.417573022,34014.37331,1233.249581,3888.830737,0.410425785,27492.81774
Plaza-Shamrock,Charlotte,Mecklenburg,3174,0,1827.31335,4259.125222,0.468513494,32573.44168,1926.371798,6637.521439,0.681264408,55592.12691,1903.69177,7314.582719,0.661055747,56846.55596
Ponderosa-Wingate,Charlotte,Mecklenburg,4382,0,1492.657048,3664.180788,0.359263615,23295.23514,1910.506003,4933.89949,0.644542492,65302.93696,1925.869337,4985.765827,0.683109189,72060.02389
Prosperity Church Road,Charlotte,Mecklenburg,554,1,4145.985372,10159.7108,0.705148823,72063.42849,2216.917794,3577.068156,0.903525938,143606.3275,2339.253249,4042.522576,0.902149589,142443.72
Providence Crossing,Charlotte,Mecklenburg,2783,0,1350.593328,4300.970865,0.993057693,115590.4007,1190.399035,7667.69372,0.937152944,94700.50973,1396.695963,7814.550229,0.916943907,88064.67822
Providence Estates East,Charlotte,Mecklenburg,2672,0,1189.756425,3348.506464,0.995457617,90886.90924,2553.735919,5999.315369,0.638026988,71026.51752,2795.432808,6428.88949,0.631369489,73229.67168
Providence Park,Charlotte,Mecklenburg,3594,0,2706.687271,5678.549829,0.62250696,69040.92142,2803.629831,4637.294539,0.942601446,122622.0018,2816.191414,5143.361971,0.873424726,116660.1371
Providence Plantation,Charlotte,Mecklenburg,1337,0,2447.002199,7287.966034,0.955292346,110288.8435,1628.337599,3239.253913,0.439685365,25887.09889,1801.484835,3766.012516,0.387314889,26569.21336
Provincetowne,Charlotte,Mecklenburg,776,0,2070.837603,5456.764318,0.94669911,80766.68242,1954.524879,3612.95329,0.867157858,71836.52903,2254.466306,3721.393958,0.846171538,85542.17076
Quail Hollow,Charlotte,Mecklenburg,2992,0,1768.754932,3834.65775,0.860193105,65977.15702,1810.310032,6256,0.451099672,35551,1792.705628,6157,0.370922271,30055
Rain Tree,Charlotte,Mecklenburg,3038,0,1537.754276,3301.22263,0.721120374,79263.75028,1573.159583,3977.274997,0.915792182,89101.04848,1592.232627,7116.74986,0.878799494,88660.63369
Reid Park,Charlotte,Mecklenburg,4494,1,1496.478744,3666.501917,0.362030854,23335.19155,1917.588042,4067.653121,0.436972874,27503.96155,1934.559728,3668.701236,0.416629941,27668.41483
Rockwell Park-Hemphill Heights,Charlotte,Mecklenburg,2626,0,3407.087193,6977.556266,0.524364333,47225.14917,1866.231668,3456.450948,0.544264416,49742.3038,2089.660847,4035.510359,0.398608771,40219.99508
